Ministries/Departments,Heads of Expenditure,Detailed Heads of Expenditure,Actual 2019-2020,Budget 2020-2021,Revised 2020-2021,Budget 2021-2022
"Ministry of Ayurveda, Yoga and Naturopathy, Unani, Siddha and Homoeopathy (AYUSH)",Medical and Public Health,Medical and Public Health,1263.42,1361.08,1825.31,2316.80
"Ministry of Ayurveda, Yoga and Naturopathy, Unani, Siddha and Homoeopathy (AYUSH)",Secretariat-Social Services,Secretariat-Social Services,34.40,41.00,35.04,43.39
"Ministry of Ayurveda, Yoga and Naturopathy, Unani, Siddha and Homoeopathy (AYUSH)",Capital Outlay on Medical and Public Health,Capital Outlay on Medical and Public Health,...,...,...,...
"Ministry of Ayurveda, Yoga and Naturopathy, Unani, Siddha and Homoeopathy (AYUSH)",North Eastern Areas,North Eastern Areas,...,103.00,113.00,121.31
"Ministry of Ayurveda, Yoga and Naturopathy, Unani, Siddha and Homoeopathy (AYUSH)",Grants-in-aid to State Governments,Grants-in-aid to State Governments,483.96,608.00,325.40,463.80
"Ministry of Ayurveda, Yoga and Naturopathy, Unani, Siddha and Homoeopathy (AYUSH)",Grants-in-aid to Union Territory Governments,Grants-in-aid to Union Territory Governments,2.38,9.00,23.33,25.00
Ministry of Civil Aviation,Secretariat,Secretariat,36.88,43.36,77.26,49.84
Ministry of Civil Aviation,Directorate General of Civil Aviation,Directorate General of Civil Aviation,205.16,193.34,196.28,204.00
Ministry of Civil Aviation,Bureau of Civil Aviation Security,Bureau of Civil Aviation Security,42.88,49.30,51.41,55.26
Ministry of Civil Aviation,Commissioner for Railway Safety,Commissioner for Railway Safety,13.32,14.46,13.70,15.00
Ministry of Civil Aviation,Actual Recoveries,Actual Recoveries,-0.09,...,...,...
Ministry of Civil Aviation,"Grants-in-Aid to Institution in Civil Aviation for
Promotion/Development of Aero Sports","Grants-in-Aid to Institution in Civil Aviation for
Promotion/Development of Aero Sports",...,...,...,1.00
Ministry of Civil Aviation,Turnaround Plan of Air India Ltd.,Turnaround Plan of Air India Ltd.,0.01,0.01,0.01,...
Ministry of Civil Aviation,Regional Connectivity Scheme,Regional Connectivity Scheme,488.81,465.17,700.00,600.00
Ministry of Civil Aviation,Purchase of two new aircraft for Special Extra Section Flight operations.,Purchase of two new aircraft for Special Extra Section Flight operations.,272.35,810.23,809.96,0.01
Ministry of Civil Aviation,Air India Asset Holding Limited (SPV),Air India Asset Holding Limited (SPV),2568.05,2205.00,2215.50,2268.99
Ministry of Civil Aviation,Mobile Air Dispensary and Air Ambulance,Mobile Air Dispensary and Air Ambulance,...,0.01,...,...
Ministry of Civil Aviation,Indira Gandhi Rashtriya Udaan Academy and National Aviation University,Indira Gandhi Rashtriya Udaan Academy and National Aviation University,8.47,7.33,27.01,7.33
Ministry of Civil Aviation,Airports Economic Regulatory Authority,Airports Economic Regulatory Authority,10.88,9.48,10.48,10.00
Ministry of Civil Aviation,Airports Authority of India,Airports Authority of India,...,0.01,30.00,13.18
Ministry of Civil Aviation,Rohini Heliport Limited,Rohini Heliport Limited,...,0.01,0.01,0.01
Ministry of Civil Aviation,Capital Outlay on Public Works,Capital Outlay on Public Works,...,...,14.00,5.01
Ministry of Civil Aviation,Civil Aviation,Civil Aviation,3575.16,3658.39,3944.41,3069.33
Ministry of Civil Aviation,Other Transport Services,Other Transport Services,13.32,...,...,...
Ministry of Civil Aviation,Secretariat-Economic Services,Secretariat-Economic Services,36.88,43.36,63.26,44.83
Ministry of Civil Aviation,Capital Outlay on Civil Aviation,Capital Outlay on Civil Aviation,21.36,25.97,39.97,35.51
Ministry of Civil Aviation,North Eastern Areas,North Eastern Areas,...,69.99,69.99,69.99
Ministry of Coal,Secretariat,Secretariat,25.97,26.19,28.76,35.74
Ministry of Coal,"Statutory Bodies, Attached and Sub-ordinate Offices","Statutory Bodies, Attached and Sub-ordinate Offices",11.30,14.09,22.74,25.96
Ministry of Coal,Research and Development,Research and Development,18.77,25.00,12.00,18.00
Ministry of Coal,"Conservation, Safety and Infrastructure Development in Coal Mines","Conservation, Safety and Infrastructure Development in Coal Mines",84.58,94.98,56.73,71.98
Ministry of Coal,Exploration of Coal and Lignite,Exploration of Coal and Lignite,659.47,700.00,485.00,330.00
Ministry of Coal,Coal Mines Pension Scheme,Coal Mines Pension Scheme,22.90,22.35,22.35,53.20
Ministry of Coal,"Labour, Employment and Skill Development","Labour, Employment and Skill Development",22.90,22.35,22.35,53.20
Ministry of Coal,Coal and Lignite,Coal and Lignite,774.12,752.07,521.10,403.94
Ministry of Coal,Secretariat-Economic Services,Secretariat-Economic Services,25.97,26.19,28.76,35.74
Ministry of Coal,North Eastern Areas,North Eastern Areas,...,82.00,55.37,42.00
Ministry of Corporate Affairs,Secretariat,Secretariat,201.81,278.96,270.39,246.45
Ministry of Corporate Affairs,Corporate Law Regulation,Registrar of Joint Stock Companies,59.69,59.62,59.54,65.77
Ministry of Corporate Affairs,Corporate Law Regulation,"Regional Directors, Official Liquidators and Other Expenditure with reference to various bodies under Companies Act",198.37,215.94,228.58,253.41
Ministry of Corporate Affairs,Actual Recoveries,Actual Recoveries,-1.29,...,...,...
Ministry of Corporate Affairs,Champion Service Sector Scheme on Accounting and Finance Services,Champion Service Sector Scheme on Accounting and Finance Services,...,5.00,1.00,5.00
Ministry of Corporate Affairs,Corporate Data Management (CDM),Corporate Data Management (CDM),6.75,5.50,5.50,5.50
Ministry of Corporate Affairs,Data Mining System (DMS),Data Mining System (DMS),0.18,1.00,0.22,1.00
Ministry of Corporate Affairs,Insolvency and Bankruptcy Board of India,Insolvency and Bankruptcy Board of India,21.50,44.60,26.58,39.00
Ministry of Corporate Affairs,Competition Commission of India,Competition Commission of India,57.09,66.00,53.19,46.00
Ministry of Corporate Affairs,Indian Institute of Corporate Affairs,Indian Institute of Corporate Affairs,4.45,...,...,...
Ministry of Corporate Affairs,Investors Education and Protection Fund,Refund of unclaimed Dividend to Investors,20.00,25.00,15.00,25.00
Ministry of Corporate Affairs,Investors Education and Protection Fund,Deduct Recoveries made from IEPF,-17.77,-25.00,-15.00,-25.00
Ministry of Corporate Affairs,Major Works - Land and Buildings,Major Works - Land and Buildings,12.27,51.00,35.00,50.00
Ministry of Corporate Affairs,Secretariat-Economic Services,Secretariat-Economic Services,267.78,355.46,330.08,302.95
Ministry of Corporate Affairs,Other General Economic Services,Other General Economic Services,282.82,320.16,314.70,358.18
Ministry of Corporate Affairs,Capital Outlay on Other General Economic Services,Capital Outlay on Other General Economic Services,12.45,52.00,35.22,51.00
Ministry of Culture,Secretariat including Central Secretariat Library,Secretariat including Central Secretariat Library,41.53,51.19,41.04,50.70
Ministry of Culture,Archaeological Survey of India (A.S.I),Archaeological Survey of India (A.S.I),1003.38,1246.75,860.85,1042.63
Ministry of Culture,Libraries and Archives,Libraries and Archives,78.67,103.51,80.34,100.07
Ministry of Culture,Museums,Museums,86.15,108.89,92.29,108.85
Ministry of Culture,Anthropological Survey of India ( An. S.I.),Anthropological Survey of India ( An. S.I.),34.26,49.38,34.97,47.41
Ministry of Culture,"Centenaries and Anniversaries, Celebrations and Schemes","Centenaries and Anniversaries, Celebrations and Schemes",102.70,160.35,104.43,144.64
Ministry of Culture,Kala Sanskriti Vikas Yojana,Kala Sanskriti Vikas Yojana,164.14,209.79,139.78,168.43
Ministry of Culture,Development of Museums,Development of Museums,120.39,180.90,136.24,128.18
Ministry of Culture,Development of Libraries and Archives,Development of Libraries and Archives,...,0.38,...,0.77
Ministry of Culture,Global Engagement and International Cooperation,Global Engagement and International Cooperation,11.40,20.60,8.16,9.90
Ministry of Culture,National Mission for Preservation of Manuscripts,National Mission for Preservation of Manuscripts,3.33,6.30,4.17,3.28
Ministry of Culture,Support to Akademies,Support to Akademies,339.26,434.58,275.17,341.57
Ministry of Culture,Support to Museums,Support to Museums,287.14,317.66,239.63,293.81
Ministry of Culture,Support to Libraries,Support to Libraries,103.15,124.22,85.16,100.11
Ministry of Culture,Buddhist Tibetan Institutions and Memorials,Buddhist Tibetan Institutions and Memorials,108.73,114.86,95.45,127.15
Ministry of Culture,Grantee Bodies,Grantee Bodies,16.17,20.50,14.17,20.49
Ministry of Culture,Actual Recoveries,Actual Recoveries,-5.58,...,...,...
Ministry of Culture,Art and Culture,Art and Culture,2387.40,2948.58,2103.13,2513.01
Ministry of Culture,Secretariat-Social Services,Secretariat-Social Services,41.52,51.19,41.04,50.70
Ministry of Culture,"Capital Outlay on Education, Sports, Art and Culture","Capital Outlay on Education, Sports, Art and Culture",65.90,92.29,28.40,78.76
Ministry of Culture,North Eastern Areas,North Eastern Areas,...,57.80,39.28,45.52
Ministry of Defence (Civil),Secretariat General Services,Secretariat General Services,1975.90,2087.63,2187.24,2188.46
Ministry of Defence (Civil),Border Roads Development Board Secretariat,Border Roads Development Board Secretariat,2733.75,2536.23,2685.25,2654.08
Ministry of Defence (Civil),Coast Guard Organisation,Coast Guard Organisation,5122.01,5032.76,4932.76,5244.72
Ministry of Defence (Civil),Defence Estates Organisation,Defence Estates Organisation,476.12,382.27,432.27,348.60
Ministry of Defence (Civil),Jammu and Kashmir Light Infantry,Jammu and Kashmir Light Infantry,1449.27,1395.25,1415.25,1451.13
Ministry of Defence (Civil),Armed Forces Tribunal,Armed Forces Tribunal,37.00,44.69,43.29,44.94
Ministry of Defence (Civil),Transfer to Central Road and Infrastructure Fund,Transfer to Central Road and Infrastructure Fund,2150.00,2405.00,3205.00,2605.00
Ministry of Defence (Civil),Works under Border Roads Development Board,Gross Budgetary Support,2348.15,2300.00,3100.00,2500.00
Ministry of Defence (Civil),Works under Border Roads Development Board,Amount met from Central Road and Infrastructure Fund,-2100.00,-2300.00,-3100.00,-2500.00
Ministry of Defence (Civil),Grants to States for Strategic Roads,Gross Budgetary Support,46.58,50.00,80.00,50.00
Ministry of Defence (Civil),Grants to States for Strategic Roads,Amount met from Central Road and Infrastructure Fund,-50.00,-50.00,-50.00,-50.00
Ministry of Defence (Civil),Other works,Gross Budgetary Support,735.35,700.00,1070.00,800.00
Ministry of Defence (Civil),Other works,Amount met from Central Road and Infrastructure Fund,...,-55.00,-55.00,-55.00
Ministry of Defence (Civil),Hindustan Shipyard Limited,Interest Subsidy,...,4.84,...,...
Ministry of Defence (Civil),Maintenance and Repairs to Defence Accounts Department/Defence Estates Organisation/Canteen Stores Department Staff Quarters,Maintenance and Repairs to Defence Accounts Department/Defence Estates Organisation/Canteen Stores Department Staff Quarters,51.80,54.83,48.00,52.00
Ministry of Defence (Civil),Residential Housing facilities to Defence Accounts Department/Defence Estate Orgnaisation/Canteen Stores Department -Staff Quarters,Residential Housing facilities to Defence Accounts Department/Defence Estate Orgnaisation/Canteen Stores Department -Staff Quarters,5.17,6.79,6.47,7.57
Ministry of Defence (Civil),Capital Outlay for construction of Defence Accounts Department/Defence Estates Organisation/Armed Forces Tribunal- Other Buildings,Capital Outlay for construction of Defence Accounts Department/Defence Estates Organisation/Armed Forces Tribunal- Other Buildings,9.08,12.38,11.56,13.80
Ministry of Defence (Civil),Miscellaneous Loans,Miscellaneous Loans,0.88,1.21,1.15,1.35
Ministry of Defence (Civil),Canteen Stores Department,Canteen Stores Department,19342.57,20099.12,18000.82,19800.69
Ministry of Defence (Civil),Canteen Stores Department,Less Revenue Receipts,-17812.01,-20208.00,-18100.00,-19900.00
Ministry of Defence (Civil),Administration of Justice,Administration of Justice,37.00,44.69,43.29,44.94
Ministry of Defence (Civil),Customs,Customs,2539.30,2532.76,2432.76,2594.72
Ministry of Defence (Civil),Secretariat-General Services,Secretariat-General Services,5185.77,5006.13,5304.76,5191.14
Ministry of Defence (Civil),Police,Police,1449.27,1395.25,1415.25,1451.13
Ministry of Defence (Civil),Public Works,Public Works,28.25,29.40,25.79,27.88
Ministry of Defence (Civil),Miscellaneous General Services,Miscellaneous General Services,1529.89,-109.50,-100.00,-100.00
Ministry of Defence (Civil),Capital Outlay on Other Fiscal Services,Capital Outlay on Other Fiscal Services,2582.71,2500.00,2500.00,2650.00
Ministry of Defence (Civil),Capital Outlay on Public Works,Capital Outlay on Public Works,9.08,12.38,11.56,13.80
Ministry of Defence (Civil),Capital Outlay on Miscellaneous General Services,Capital Outlay on Miscellaneous General Services,0.67,0.62,0.82,0.69
Ministry of Defence (Civil),Housing,Housing,23.55,25.43,22.21,24.12
Ministry of Defence (Civil),Capital Outlay on Housing,Capital Outlay on Housing,5.17,6.79,6.47,7.57
Ministry of Defence (Civil),Industries,Industries,...,4.84,...,...
Ministry of Defence (Civil),Roads and Bridges,Roads and Bridges,785.35,750.00,1120.00,850.00
Ministry of Defence (Civil),Capital Outlay on Roads and Bridges,Capital Outlay on Roads and Bridges,2348.15,2070.00,2790.00,2250.00
Ministry of Defence (Civil),North Eastern Areas,North Eastern Areas,...,5.00,8.00,5.00
Ministry of Defence (Civil),Grants-in-aid to State Governments,Grants-in-aid to State Governments,-3.42,-5.00,22.00,-5.00
Ministry of Defence (Civil),Capital Outlay on North Eastern Areas,Capital Outlay on North Eastern Areas,...,230.00,310.00,250.00
Ministry of Defence (Civil),Miscellaneous Loans,Miscellaneous Loans,0.88,1.21,1.15,1.35
Ministry of Development of North Eastern Region,Secretariat,Secretariat,15.62,17.08,16.72,16.51
Ministry of Development of North Eastern Region,Schemes of North East Council,Schemes of North East Council,383.68,606.18,374.38,384.55
Ministry of Development of North Eastern Region,Schemes of North East Council - Special Development Projects,Schemes of North East Council - Special Development Projects,305.00,263.72,203.72,200.00
Ministry of Development of North Eastern Region,Central Pool of Resources for North East and Sikkim,Central Pool of Resources for North East and Sikkim,576.19,551.75,344.56,580.95
Ministry of Development of North Eastern Region,North East Special Infrastructure Development Scheme (NESIDS),NESIDS Programme,549.14,620.00,411.00,630.00
Ministry of Development of North Eastern Region,North East Special Infrastructure Development Scheme (NESIDS),Hill Area Development Programme,13.36,54.00,32.00,45.00
Ministry of Development of North Eastern Region,"Consultancy, Monitoring, Evaluation - Charges under NLCPR Scheme","Consultancy, Monitoring, Evaluation - Charges under NLCPR Scheme",0.40,...,...,...
Ministry of Development of North Eastern Region,NER Livelihood (EAP) Project (NERLP) -,NER Livelihood (EAP) Project (NERLP) -,12.54,...,...,...
Ministry of Development of North Eastern Region,North East States Road PMU (ADB Assisted),Project Management Unit,0.28,1.00,0.60,0.55
Ministry of Development of North Eastern Region,Construction/Improvement of Roads of Economic Importance,Construction/Improvement of Roads of Economic Importance,1.78,...,...,...
Ministry of Development of North Eastern Region,North East Road Sector Development Scheme,Programme Component,355.82,460.00,130.00,374.04
Ministry of Development of North Eastern Region,North East Road Sector Development Scheme,EAP Component,324.56,340.00,279.02,321.65
Ministry of Development of North Eastern Region,Bodoland Territorial Council,Bodoland Territorial Council,3.85,10.00,...,11.00
Ministry of Development of North Eastern Region,Karbi Anglong Autonomous Territorial Council,Karbi Anglong Autonomous Territorial Council,35.57,57.00,18.00,37.75
Ministry of Development of North Eastern Region,Dima Hasao Territorial Council,Dima Hasao Territorial Council,25.82,34.00,16.00,22.00
Ministry of Development of North Eastern Region,Loan to North East Development Finance Corporation,Loan to North East Development Finance Corporation,60.00,30.00,30.00,30.00
Ministry of Development of North Eastern Region,Social and Infrastructure Development Fund,Social and Infrastructure Development Fund,27.88,50.00,36.00,26.00
Ministry of Development of North Eastern Region,North East Regional Agricultural Marketing Corporation,North East Regional Agricultural Marketing Corporation,4.10,2.00,2.00,2.00
Ministry of Development of North Eastern Region,North Eastern Handicrafts and Handlooms Development Corporation Ltd,North Eastern Handicrafts and Handlooms Development Corporation Ltd,2.00,2.00,2.00,2.00
Ministry of Development of North Eastern Region,Secretariat-General Services,Secretariat-General Services,15.62,17.08,16.72,16.51
Ministry of Development of North Eastern Region,Other Administrative Services,Other Administrative Services,17.60,23.60,20.59,20.59
Ministry of Development of North Eastern Region,Loans for Village and Small Industries,Loans for Village and Small Industries,6.10,4.00,4.00,4.00
Ministry of Development of North Eastern Region,Other Loans to Industries and Minerals,Other Loans to Industries and Minerals,60.00,30.00,30.00,30.00
Ministry of Development of North Eastern Region,North Eastern Areas,North Eastern Areas,896.80,1123.58,751.60,952.51
Ministry of Development of North Eastern Region,Grants-in-aid to State Governments,Grants-in-aid to State Governments,1082.15,1165.88,748.74,1041.90
Ministry of Development of North Eastern Region,Capital Outlay on North Eastern Areas,Capital Outlay on North Eastern Areas,579.60,684.59,288.35,592.49
Ministry of Earth Sciences,Secretariat,Secretariat,36.75,44.00,35.86,42.00
Ministry of Earth Sciences,Meteorology,Meteorology-Gross,416.85,443.44,415.28,442.72
Ministry of Earth Sciences,Meteorology,Meteorology-Net,415.66,439.00,410.90,438.16
Ministry of Earth Sciences,Oceanographic Survey (ORV and FORV) and Marine Living Resources (MLR),Oceanographic Survey (ORV and FORV) and Marine Living Resources (MLR),29.61,35.00,9.00,25.00
Ministry of Earth Sciences,National Centre for Medium Range Weather Forecasting (NCMRWF),National Centre for Medium Range Weather Forecasting (NCMRWF),9.96,13.20,10.60,12.80
Ministry of Earth Sciences,"Ocean Services, Technology, Observations, Resources Modelling and Science (O-STORMS)","Ocean Services, Technology, Observations, Resources Modelling and Science (O-STORMS)",...,...,...,...
Ministry of Earth Sciences,"Ocean services, Modelling, Application, Resources and Technology (O-SMART)","Ocean services, Modelling, Application, Resources and Technology (O-SMART)",435.50,567.00,238.50,436.17
Ministry of Earth Sciences,Atmosphere and Climate Research - Modelling Observing Systems and Services (ACROSS),Atmosphere and Climate Research - Modelling Observing Systems and Services (ACROSS),355.24,440.00,227.90,460.00
Ministry of Earth Sciences,Polar Science and Cryosphere (PACER),Polar Science and Cryosphere (PACER),109.98,125.00,110.00,115.00
Ministry of Earth Sciences,Seismological and Geoscience (SAGE),Seismological and Geoscience (SAGE),91.19,120.00,39.00,110.00
Ministry of Earth Sciences,"Research, Education and Training Outreach (REACHOUT)","Research, Education and Training Outreach (REACHOUT)",62.70,85.00,35.00,60.00
Ministry of Earth Sciences,Indian National Centre for Ocean Information Services (INCOIS),Indian National Centre for Ocean Information Services (INCOIS),21.80,26.50,22.60,24.50
Ministry of Earth Sciences,National Institute of Ocean Technology (NIOT),National Institute of Ocean Technology (NIOT),50.78,51.51,43.00,49.25
Ministry of Earth Sciences,"National Centre for Polar and Ocean Research, Goa (NCPOR)","National Centre for Polar and Ocean Research, Goa (NCPOR)",19.00,24.79,21.72,24.00
Ministry of Earth Sciences,Indian Institute of Tropical Meteorology (IITM),Indian Institute of Tropical Meteorology (IITM),68.20,78.00,83.42,84.25
Ministry of Earth Sciences,National Centre for Earth Science Studies (NCESS),National Centre for Earth Science Studies (NCESS),18.04,21.00,12.50,16.00
Ministry of Earth Sciences,Actual Recoveries,Actual Recoveries,-12.54,...,...,...
Ministry of Earth Sciences,Oceanographic Research,Oceanographic Research,649.09,812.80,436.82,658.92
Ministry of Earth Sciences,Other Scientific Research,Other Scientific Research,67.62,98.20,45.60,72.80
Ministry of Earth Sciences,Secretariat-Economic Services,Secretariat-Economic Services,36.52,44.00,35.86,42.00
Ministry of Earth Sciences,Meteorology,Meteorology,853.43,943.00,706.82,960.41
Ministry of Earth Sciences,Capital Outlay on Oceanographic Research,Capital Outlay on Oceanographic Research,11.23,17.00,8.00,15.00
Ministry of Earth Sciences,Capital Outlay on Meteorology,Capital Outlay on Meteorology,93.98,155.00,66.90,148.00
Ministry of Electronics and Information Technology,Secretariat,Secretariat,95.64,116.03,99.18,109.33
Ministry of Electronics and Information Technology,National Informatics Centre,National Informatics Centre,1269.03,1285.00,1300.00,1400.00
Ministry of Electronics and Information Technology,Regulatory Authorities,Standardization Testing and Quality Certification (STQC),109.50,125.00,114.00,120.00
Ministry of Electronics and Information Technology,Regulatory Authorities,"Cyber Security (CERT-In), NCCC & Data Governance",29.98,140.00,90.00,216.00
Ministry of Electronics and Information Technology,Regulatory Authorities,Controller of Certifying Authorities (CCA),7.03,9.00,8.00,9.00
Ministry of Electronics and Information Technology,Electronic Governance,Program Component,392.08,400.00,400.82,400.00
Ministry of Electronics and Information Technology,Electronic Governance,EAP Component,9.98,25.00,15.00,25.00
Ministry of Electronics and Information Technology,Manpower Development,Manpower Development,337.97,430.00,190.00,400.00
Ministry of Electronics and Information Technology,National Knowledge Network,National Knowledge Network,274.64,400.00,584.00,500.00
Ministry of Electronics and Information Technology,"Promotion of Electronics and IT HW Manufacturing (MSIPS, EDF and Manufacturing Clusters)","Promotion of Electronics and IT HW Manufacturing (MSIPS, EDF and Manufacturing Clusters)",655.08,980.00,700.00,2631.32
Ministry of Electronics and Information Technology,Promotion of IT/ITeS Industries,Promotion of IT/ITeS Industries,90.00,170.00,100.00,150.00
Ministry of Electronics and Information Technology,Cyber Security Projects (NCCC & Others),Cyber Security Projects (NCCC & Others),92.07,170.00,80.00,200.00
Ministry of Electronics and Information Technology,R and D in IT/Electronics/CCBT,R and D in IT/Electronics/CCBT,427.74,762.99,425.00,700.00
Ministry of Electronics and Information Technology,Pradhan Mantri Gramin Digital Saksharta Abhiyan (PMGDISHA),Pradhan Mantri Gramin Digital Saksharta Abhiyan (PMGDISHA),400.00,400.00,250.00,300.00
Ministry of Electronics and Information Technology,Promotion of Digital payment,Promotion of Digital payment,511.53,220.00,300.00,1500.00
Ministry of Electronics and Information Technology,Champion Service Sector Scheme,Champion Service Sector Scheme,...,0.01,...,0.01
Ministry of Electronics and Information Technology,Centre for Development of Advanced Computing (C-DAC),Centre for Development of Advanced Computing (C-DAC),120.00,127.00,127.00,200.00
Ministry of Electronics and Information Technology,Centre for Materials for Electronics and Information Technology (C-MET),Centre for Materials for Electronics and Information Technology (C-MET),33.25,50.00,40.00,80.00
Ministry of Electronics and Information Technology,Society for Applied Microwave Electronics Engineering and Research (SAMEER),Society for Applied Microwave Electronics Engineering and Research (SAMEER),100.00,98.00,88.00,120.00
Ministry of Electronics and Information Technology,Unique Identification Authority of India (UIDAI),Unique Identification Authority of India (UIDAI),836.78,985.00,613.00,600.00
Ministry of Electronics and Information Technology,"Bhaskaracharya National Institute for Space
Applications and Geo-Information","Bhaskaracharya National Institute for Space
Applications and Geo-Information",...,...,20.00,50.00
Ministry of Electronics and Information Technology,Digital India Corporation erstwhile Media Lab Asia,Digital India Corporation erstwhile Media Lab Asia,6.00,6.00,6.00,10.00
Ministry of Electronics and Information Technology,Actual Recoveries,Actual Recoveries,-146.33,...,...,...
Ministry of Electronics and Information Technology,Industries,Industries,3373.42,3974.20,3111.82,6734.69
Ministry of Electronics and Information Technology,Secretariat-Economic Services,Secretariat-Economic Services,1175.17,1169.03,1167.18,1259.33
Ministry of Electronics and Information Technology,Foreign Trade and Export Promotion,Foreign Trade and Export Promotion,...,...,...,...
Ministry of Electronics and Information Technology,Census Surveys and Statistics,Census Surveys and Statistics,836.78,985.00,613.00,600.00
Ministry of Electronics and Information Technology,Capital Outlay on Telecommunication and Electronic Industries,Capital Outlay on Telecommunication and Electronic Industries,77.20,143.00,121.00,196.00
Ministry of Electronics and Information Technology,Capital Outlay on Other General Economic Services,Capital Outlay on Other General Economic Services,189.40,232.00,232.00,250.00
Ministry of Electronics and Information Technology,North Eastern Areas,North Eastern Areas,...,395.80,305.00,680.64
"Ministry of Environment, Forests and Climate Change",Secretariat,Secretariat,127.99,139.00,128.96,147.82
"Ministry of Environment, Forests and Climate Change",Attached/Subordinate Offices,Regional Offices,32.48,37.00,31.00,50.40
"Ministry of Environment, Forests and Climate Change",Attached/Subordinate Offices,National Afforestation and Eco-Development Board,7.32,9.00,10.00,9.50
"Ministry of Environment, Forests and Climate Change",Attached/Subordinate Offices,National River Conservation Directorate,2.87,...,...,...
"Ministry of Environment, Forests and Climate Change",Attached/Subordinate Offices,Forest Survey of India,32.99,35.40,26.40,30.58
"Ministry of Environment, Forests and Climate Change",Attached/Subordinate Offices,Indira Gandhi National Forest Academy,57.94,67.15,32.14,51.50
"Ministry of Environment, Forests and Climate Change",Attached/Subordinate Offices,State Forest Service and Rangers College,20.03,25.00,18.50,24.50
"Ministry of Environment, Forests and Climate Change",Attached/Subordinate Offices,Wildlife Crime Control Bureau,10.42,14.00,9.04,11.00
"Ministry of Environment, Forests and Climate Change",Attached/Subordinate Offices,National Institute of Animal Welfare,0.69,...,...,...
"Ministry of Environment, Forests and Climate Change",Attached/Subordinate Offices,Botanical Survey of India,79.67,88.00,71.13,78.00
"Ministry of Environment, Forests and Climate Change",Attached/Subordinate Offices,Zoological Survey of India,75.64,97.00,69.32,82.00
"Ministry of Environment, Forests and Climate Change",Attached/Subordinate Offices,National Museum of Natural History,21.77,32.50,19.06,19.00
"Ministry of Environment, Forests and Climate Change",Attached/Subordinate Offices,National Green Tribunal,33.53,101.00,35.51,104.00
"Ministry of Environment, Forests and Climate Change",National Zoological Park,Gross Budgetary Support,26.07,36.00,26.00,31.00
"Ministry of Environment, Forests and Climate Change",National Zoological Park,Less Gate Receipts,-8.07,-9.78,...,-5.00
"Ministry of Environment, Forests and Climate Change",National Authority,Gross Budgetary Support,40.80,100.00,200.00,261.65
"Ministry of Environment, Forests and Climate Change",National Authority,Less Amount met from National Compensatory Afforestation Fund,-40.80,-100.00,-200.00,-261.65
"Ministry of Environment, Forests and Climate Change",Forestry Training and Capacity Building,Programme Component,10.70,11.37,2.00,10.00
"Ministry of Environment, Forests and Climate Change",Forestry Training and Capacity Building,EAP Component,...,...,...,...
"Ministry of Environment, Forests and Climate Change",Eco-Task Force,Eco-Task Force,75.00,75.00,38.00,60.00
"Ministry of Environment, Forests and Climate Change",National Coastal Mission (NCM),Programme Component,15.84,18.00,7.34,50.00
"Ministry of Environment, Forests and Climate Change",National Coastal Mission (NCM),EAP Component,75.00,85.00,61.00,150.00
"Ministry of Environment, Forests and Climate Change",Pollution Abatement,Pollution Abatement,9.80,10.00,6.00,...
"Ministry of Environment, Forests and Climate Change",Hazardous Substances Management (HSM),Programme Component,4.13,12.00,3.69,6.00
"Ministry of Environment, Forests and Climate Change",Hazardous Substances Management (HSM),EAP Component,...,...,...,...
"Ministry of Environment, Forests and Climate Change",Climate Change Action Plan,Climate Change Action Plan,22.99,40.00,24.00,30.00
"Ministry of Environment, Forests and Climate Change",National Adaptation Fund,National Adaptation Fund,33.82,80.00,44.24,60.00
"Ministry of Environment, Forests and Climate Change",National Mission on Himalayan Studies,National Mission on Himalayan Studies,47.00,50.00,30.00,40.00
"Ministry of Environment, Forests and Climate Change","Environmental Education, Awareness and Training","Environmental Education, Awareness and Training",65.92,114.36,51.00,77.13
"Ministry of Environment, Forests and Climate Change",Environment Information Systems (ENVIS),Environment Information Systems (ENVIS),26.72,40.00,25.00,35.00
"Ministry of Environment, Forests and Climate Change",Centres of Excellence,Centres of Excellence,11.50,14.00,4.82,...
"Ministry of Environment, Forests and Climate Change",R and D for Conservation and Development,R and D for Conservation and Development,4.50,7.50,3.00,5.00
"Ministry of Environment, Forests and Climate Change",Control of Pollution,Control of Pollution,408.86,460.00,284.00,470.00
"Ministry of Environment, Forests and Climate Change",Animal Welfare Board,Animal Welfare Board,0.82,...,...,...
"Ministry of Environment, Forests and Climate Change",Central Pollution Control Board,Central Pollution Control Board,100.00,100.00,83.00,100.00
"Ministry of Environment, Forests and Climate Change",Central Zoo Authority,Central Zoo Authority,7.80,12.00,7.50,11.00
"Ministry of Environment, Forests and Climate Change",National Biodiversity Authority,National Biodiversity Authority,17.50,23.00,10.50,19.50
"Ministry of Environment, Forests and Climate Change",National Tiger Conservation Authority,National Tiger Conservation Authority,8.50,10.50,7.40,10.00
"Ministry of Environment, Forests and Climate Change",Commission for Air Quality Management,Commission for Air Quality Management,...,...,...,20.00
"Ministry of Environment, Forests and Climate Change",GB Pant Himalayan Institute of Environment and Development,GB Pant Himalayan Institute of Environment and Development,26.00,28.00,16.70,24.00
